dataset,student,strategy,n_views,accuracy,auc_roc,ece,nll,inf_ms,temperature
pneumoniamnist,S5,baseline,10,0.8605769230769231,0.9782380013149243,0.08600051739276986,0.4745972454547882,,1.2209
pneumoniamnist,S5,maxprob,10,0.8605769230769231,0.9783694937541092,0.08797493147162287,0.48201224207878113,,1.2209
pneumoniamnist,S5,entropy,10,0.8621794871794872,0.9786160420775806,0.08557534714539847,0.488882452249527,,1.2209
pneumoniamnist,S5,variance,10,0.8573717948717948,0.9789831251369712,0.09868391058765927,0.5192679762840271,,1.2209
pneumoniamnist,S5,variance_inv,10,0.8637820512820513,0.9767367959675652,0.09042295909080747,0.4715959131717682,,1.2209
pneumoniamnist,S5,mc_dropout,T=20,0.8733974358974359,0.9717893929432391,0.1052395723378047,0.5956251621246338,,1.2209
pneumoniamnist,S5,ts_only,1,0.8733974358974359,0.9718606180144642,0.09612017850845292,0.5048254728317261,,1.2209
pneumoniamnist,S5,ts_entropy,10,0.8605769230769231,0.9792570677186061,0.08452547293825026,0.44006943702697754,,1.2209
