dataset,arch,n_views,accuracy,auc_roc,ece,nll,inf_ms
pathmnist,resnet18,1,0.9034818941504178,0.9924424332207621,0.06711191372286977,0.41838058829307556,0.22051033426215935
pathmnist,resnet18,1,0.9034818941504178,0.9924424332207621,0.06711191372286977,0.41838058829307556,0.2200388022296197
pathmnist,resnet18,5,0.9098885793871866,0.9903832948328635,0.032737524790850174,0.3296607732772827,4.232142604454981
pathmnist,resnet18,10,0.9097493036211699,0.9903315947825573,0.022197161021338875,0.3068232238292694,8.363863412256114
pathmnist,resnet18,20,0.909192200557103,0.9901351335682845,0.02828884356367226,0.29410508275032043,16.504398217268857
pathmnist,resnet18,50,0.9110027855153203,0.9893527326725982,0.02822415367557478,0.29086995124816895,41.366501155989226
