dataset,n_views,accuracy,auc_roc,ece,nll,inf_ms
organamnist,1,0.9474069074136573,0.997717270146567,0.03613012195109566,0.24151960015296936,0.2623840297558782
organamnist,5,0.9453819327258409,0.9932533588107099,0.12542153153447388,0.36765316128730774,2.2795895550118086
organamnist,10,0.9479131510856115,0.9956788835746951,0.05481648395676786,0.2454875111579895,6.544800320114735
organamnist,20,0.9473506581167735,0.9957346598728795,0.055221332565900456,0.244600310921669,13.132009508099904
organamnist,50,0.9475756553043087,0.9958146418016578,0.055850617157580135,0.24250634014606476,31.71787648548771
