dataset,strategy,n_views,accuracy,auc_roc,ece,nll
pneumoniamnist,maxprob,2,0.9246794871794872,0.9754437869822484,0.029726194552122005,0.22552165389060974
pneumoniamnist,maxprob,5,0.8878205128205128,0.9774709620863467,0.04628043287457563,0.28825441002845764
pneumoniamnist,maxprob,10,0.8798076923076923,0.9809664694280079,0.0638992784497065,0.327176034450531
pneumoniamnist,maxprob,20,0.8782051282051282,0.9802542187157572,0.05756975060854205,0.3305343687534332
pneumoniamnist,maxprob,50,0.8830128205128205,0.9807911461757615,0.056016627794657006,0.3240252137184143
