dataset,arch,student,strategy,n_views,accuracy,auc_roc,ece,nll,inf_ms,temperature
breastmnist,resnet18,S3,baseline,10,0.8974358974358975,0.9114452798663325,0.04383961932781415,0.33176949620246887,,1.303
breastmnist,resnet18,S3,maxprob,10,0.8974358974358975,0.9137426900584795,0.04351514616073707,0.333377480506897,,1.303
breastmnist,resnet18,S3,entropy,10,0.8974358974358975,0.9158312447786131,0.04073446606978393,0.3343724012374878,,1.303
breastmnist,resnet18,S3,variance,10,0.8974358974358975,0.9179197994987468,0.06563672920068102,0.34600746631622314,,1.303
breastmnist,resnet18,S3,variance_inv,10,0.8717948717948718,0.9007936507936508,0.05016404313918875,0.35985511541366577,,1.303
breastmnist,resnet18,S3,mc_dropout,T=20,0.8910256410256411,0.912907268170426,0.08436525479341166,0.41136693954467773,,1.303
breastmnist,resnet18,S3,ts_only,1,0.8910256410256411,0.9106098579782791,0.06668231846430364,0.35792750120162964,,1.303
breastmnist,resnet18,S3,ts_entropy,10,0.8974358974358975,0.9183375104427737,0.04075740010310441,0.3101111054420471,,1.303
breastmnist,resnet18,S3,top3,10,0.9038461538461539,0.9141604010025063,0.10746631102684215,0.5215824842453003,,1.303
breastmnist,resnet18,S3,top5,10,0.8974358974358975,0.9126984126984127,0.09385498479390755,0.46481314301490784,,1.303
breastmnist,resnet18,S3,top7,10,0.8974358974358975,0.9158312447786132,0.08802332824621448,0.43504080176353455,,1.303
