dataset,strategy,n_views,accuracy,auc_roc,ece,nll
breastmnist,maxprob,2,0.8333333333333334,0.89578111946533,0.12153459321229884,0.45376092195510864
breastmnist,maxprob,5,0.8397435897435898,0.8991228070175439,0.07611813682776232,0.4074072539806366
breastmnist,maxprob,10,0.8653846153846154,0.891812865497076,0.06944864797286494,0.3778965175151825
breastmnist,maxprob,20,0.8717948717948718,0.8966165413533834,0.08418935231673408,0.37122777104377747
breastmnist,maxprob,50,0.8653846153846154,0.8918128654970761,0.07511649796595943,0.3756718635559082
