dataset,arch,student,strategy,n_views,accuracy,auc_roc,ece,nll,inf_ms,temperature
bloodmnist,resnet18,S1,baseline,10,0.9824612686349021,0.9990150610159082,0.008866531968778804,0.06597314029932022,,1.1576
bloodmnist,resnet18,S1,maxprob,10,0.9836305173925752,0.9990286098704146,0.0060442987675905545,0.06428201496601105,,1.1576
bloodmnist,resnet18,S1,entropy,10,0.9836305173925752,0.9990312599808029,0.004445739898441858,0.06328903138637543,,1.1576
bloodmnist,resnet18,S1,variance,10,0.9839228295819936,0.9990306818752275,0.004919635939409922,0.06344208121299744,,1.1576
bloodmnist,resnet18,S1,variance_inv,10,0.9830458930137387,0.9989800510055113,0.01409639212096238,0.0716252252459526,,1.1576
bloodmnist,resnet18,S1,mc_dropout,T=20,0.980415083308974,0.9990430934954097,0.011563767356434888,0.08446632325649261,,1.1576
bloodmnist,resnet18,S1,ts_only,1,0.9801227711195557,0.9990380676425511,0.010336743124881278,0.07741248607635498,,1.1576
bloodmnist,resnet18,S1,ts_entropy,10,0.983338205203157,0.9990462873796098,0.006829687776150142,0.06150797754526138,,1.1576
bloodmnist,resnet18,S1,top3,10,0.9827535808243204,0.9991006876326258,0.010421775980533803,0.08874044567346573,,1.1576
bloodmnist,resnet18,S1,top5,10,0.9847997661502484,0.9990944081940769,0.011201397102849902,0.07695762813091278,,1.1576
bloodmnist,resnet18,S1,top7,10,0.983338205203157,0.9991121049730202,0.008277854221461689,0.06732535362243652,,1.1576
