dataset,arch,student,strategy,n_views,accuracy,auc_roc,ece,nll,inf_ms,temperature
organamnist,resnet18,S4,baseline,10,0.9479131510856115,0.9956787124223735,0.054739501451745935,0.24549706280231476,,1.073
organamnist,resnet18,S4,maxprob,10,0.9480818989762628,0.9955917503274424,0.05040817661090407,0.24447977542877197,,1.073
organamnist,resnet18,S4,entropy,10,0.9479131510856115,0.9955708921544774,0.0461579758071674,0.24334286153316498,,1.073
organamnist,resnet18,S4,variance,10,0.9477444031949601,0.9955675400682342,0.047664905007811696,0.24438968300819397,,1.073
organamnist,resnet18,S4,variance_inv,10,0.9475756553043087,0.9957336750103412,0.07273639616688375,0.25506579875946045,,1.073
organamnist,resnet18,S4,mc_dropout,T=20,0.9473506581167735,0.9977200202717099,0.03542890601276692,0.23726573586463928,,1.073
organamnist,resnet18,S4,ts_only,1,0.9474069074136573,0.9977215414823043,0.03434953182711086,0.22849741578102112,,1.073
organamnist,resnet18,S4,ts_entropy,10,0.9479694003824952,0.9956871477027822,0.046276749959007005,0.23842060565948486,,1.073
organamnist,resnet18,S4,top3,10,0.9458319271009112,0.9964620282066161,0.09202036515359388,0.3481654226779938,,1.073
organamnist,resnet18,S4,top5,10,0.9486443919451006,0.9967552563667756,0.06311840741455202,0.2894560396671295,,1.073
organamnist,resnet18,S4,top7,10,0.9482506468669142,0.9969839630248803,0.04873871147659419,0.2602067291736603,,1.073
