dataset,strategy,n_views,accuracy,auc_roc,ece,nll
breastmnist,maxprob,2,0.8589743589743589,0.9041353383458647,0.04238235109891648,0.34025976061820984
breastmnist,maxprob,5,0.8461538461538461,0.9078947368421052,0.04482260308204552,0.33542612195014954
breastmnist,maxprob,10,0.8782051282051282,0.9097744360902256,0.06407004250929904,0.331255167722702
breastmnist,maxprob,20,0.8782051282051282,0.9158312447786133,0.05878696915430901,0.32560789585113525
breastmnist,maxprob,50,0.8782051282051282,0.9120718462823727,0.06271436848701574,0.3311448097229004
