dataset,arch,n_views,accuracy,auc_roc,ece,nll,inf_ms
pneumoniamnist,deit_tiny,1,0.8541666666666666,0.9582785448170065,0.11810898580230197,0.7137264609336853,58.00040785256081
pneumoniamnist,deit_tiny,5,0.8461538461538461,0.9649682226605304,0.10152600925320232,0.6019687652587891,61.06728589743281
pneumoniamnist,deit_tiny,10,0.8397435897435898,0.9654941924172693,0.10906431499199987,0.6399402022361755,65.30221169871837
pneumoniamnist,deit_tiny,20,0.8349358974358975,0.966770764847688,0.10679172743589449,0.6264612674713135,72.29426410256752
pneumoniamnist,deit_tiny,50,0.8413461538461539,0.9665461319307473,0.10549533892518435,0.6159499883651733,97.68388830129062
