dataset,strategy,n_views,accuracy,auc_roc,ece,nll
pathmnist,entropy,2,0.9410863509749303,0.9959931158645285,0.0322204232630955,0.21471869945526123
pathmnist,entropy,5,0.9405292479108636,0.9947778355896116,0.015723012059844,0.21276454627513885
pathmnist,entropy,10,0.9434540389972145,0.9953448253341806,0.008056212069264393,0.18903376162052155
pathmnist,entropy,20,0.9433147632311978,0.9955266970526959,0.006622020804782424,0.1834154725074768
pathmnist,entropy,50,0.9442896935933147,0.9956990307182809,0.00487881405771943,0.17780272662639618
