dataset,strategy,n_views,accuracy,auc_roc,ece,nll
pathmnist,entropy,2,0.9098885793871866,0.9936322641466416,0.0492612912835849,0.33745402097702026
pathmnist,entropy,5,0.9103064066852368,0.9904854553687397,0.020886751756196593,0.32664060592651367
pathmnist,entropy,10,0.9105849582172701,0.9904969099332706,0.014535244058267631,0.3036983013153076
pathmnist,entropy,20,0.9094707520891365,0.9903330288152142,0.02489948990783315,0.291277676820755
pathmnist,entropy,50,0.9114206128133705,0.9897067996793769,0.020985372584510303,0.28575748205184937
