dataset,n_views,accuracy,auc_roc,ece,nll
bloodmnist,1,0.9821689564454837,0.9989163506788072,0.010744175491748323,0.07253473252058029
bloodmnist,5,0.9818766442560655,0.9990157897666648,0.011358728449932163,0.07396983355283737
bloodmnist,10,0.9830458930137387,0.9990519977996899,0.009170811946752355,0.06872976571321487
bloodmnist,20,0.983338205203157,0.999066881858671,0.0095426450605735,0.06719592213630676
bloodmnist,50,0.983338205203157,0.9990916358296675,0.009443299955389232,0.06384852528572083
