dataset,arch,n_views,accuracy,auc_roc,ece,nll,inf_ms
dermamnist,effb0,1,0.8329177057356608,0.9515278294765868,0.08271476342493755,0.6222423315048218,0.3842402992520697
dermamnist,effb0,5,0.8423940149625935,0.9618418139869849,0.038191657262550055,0.5107505917549133,4.249314513715246
dermamnist,effb0,10,0.8394014962593517,0.9626474408408937,0.040630304486377,0.49460703134536743,8.459632718204421
dermamnist,effb0,20,0.8433915211970074,0.9631472259955655,0.03977146535145673,0.48192986845970154,16.78703027431394
dermamnist,effb0,50,0.8448877805486285,0.9636584459442934,0.034707754761203594,0.4803265929222107,66.09126299251812
