dataset,arch,student,strategy,n_views,accuracy,auc_roc,ece,nll,inf_ms,temperature
breastmnist,effb0,S3,baseline,10,0.8012820512820513,0.7754803675856308,0.11142630034532303,0.5077461004257202,9.039934615383315,0.6381
breastmnist,effb0,S3,maxprob,10,0.7948717948717948,0.7756892230576441,0.09114900078528965,0.5013310313224792,9.039934615383315,0.6381
breastmnist,effb0,S3,entropy,10,0.7948717948717948,0.7756892230576442,0.09508029084939222,0.5028958916664124,9.039934615383315,0.6381
breastmnist,effb0,S3,variance,10,0.7948717948717948,0.7485380116959065,0.057664320254937194,0.48993921279907227,9.039934615383315,0.6381
breastmnist,effb0,S3,variance_inv,10,0.7371794871794872,0.7408103592314118,0.15494689116111174,0.5889328122138977,9.039934615383315,0.6381
breastmnist,effb0,S3,mc_dropout,T=20,0.8076923076923077,0.7103174603174602,0.09899383057386447,0.5236305594444275,9.4392128205119,0.6381
breastmnist,effb0,S3,ts_only,1,0.8076923076923077,0.7111528822055138,0.11021562684804964,0.5281187891960144,0.7036237179468466,0.6381
breastmnist,effb0,S3,ts_entropy,10,0.7948717948717948,0.777360066833751,0.08438083567680457,0.4784727692604065,9.039934615383315,0.6381
breastmnist,effb0,S3,top3,10,0.7948717948717948,0.7769423558897244,0.0360823434132796,0.47955939173698425,9.039934615383315,0.6381
breastmnist,effb0,S3,top5,10,0.7948717948717948,0.7629490392648288,0.06386230427485247,0.48394492268562317,9.039934615383315,0.6381
breastmnist,effb0,S3,top7,10,0.7948717948717948,0.7600250626566416,0.08806207317572373,0.49406471848487854,9.039934615383315,0.6381
