dataset,arch,n_views,accuracy,auc_roc,ece,nll,inf_ms
breastmnist,deit_tiny,1,0.8525641025641025,0.8920217209690894,0.08834137289952013,0.4244641959667206,232.15662820513947
breastmnist,deit_tiny,5,0.8461538461538461,0.899749373433584,0.07710971587743512,0.40183961391448975,228.20240897439922
breastmnist,deit_tiny,10,0.8653846153846154,0.8903508771929824,0.06327303250630698,0.37670525908470154,383.38196025646397
breastmnist,deit_tiny,20,0.8653846153846154,0.8934837092731829,0.06304321266137633,0.3691290318965912,249.07425961543757
breastmnist,deit_tiny,50,0.8653846153846154,0.8916040100250626,0.07029841267145594,0.3738265037536621,272.53151794875754
